event_id,date,event_name,event_type,severity,decision_direction,notes,elite_initiated,initiator_type,initiator_person_id,initiator_group,confidence,decision_domain,event_scope,year,dominant_faction_id,fragmentation_index,top_3_factions
prov_1917_march_amnesty,1917-03-17,Политическая амнистия Временного правительства,political_reform,4,liberalization,Provisional government action.,True,government,lvov,imp_zemstvo_liberal,0.85,law_politics,state,1917,imp_zemstvo_liberal,0.0,imp_zemstvo_liberal
prov_1917_april_war_note,1917-04-18,Нота Милюкова о продолжении войны,foreign_policy_decision,4,war_continuation,Elite foreign policy decision; triggered crisis.,True,government_elite,,,0.75,foreign_policy,international,1917,imp_zemstvo_liberal,0.0,imp_zemstvo_liberal
prov_1917_june_offensive,1917-07-01,Июньское наступление 1917 года,military_offensive,5,war_continuation,Kerensky offensive; date New Style often July 1.,True,government_military,kerensky,,0.85,military,international,1917,imp_zemstvo_liberal,0.0,imp_zemstvo_liberal
prov_1917_death_penalty_front,1917-07-12,Восстановление смертной казни на фронте,repression_military,4,discipline_control,Military discipline decision.,True,government,kerensky,,0.8,military_security,state,1917,imp_zemstvo_liberal,0.0,imp_zemstvo_liberal
prov_1917_republic_proclaimed,1917-09-14,Провозглашение Российской республики,constitutional_change,4,regime_redefinition,Provisional Government proclamation.,True,government,kerensky,,0.9,constitutional,state,1917,imp_zemstvo_liberal,0.0,imp_zemstvo_liberal
sov_1917_decree_peace,1917-11-08,Декрет о мире,foreign_policy_decree,5,war_exit,Bolshevik government decree.,True,ruler_party,lenin,rev_bolshevik_center,0.95,foreign_policy,international,1917,imp_zemstvo_liberal,0.0,imp_zemstvo_liberal
sov_1917_decree_land,1917-11-08,Декрет о земле,social_reform,5,land_redistribution,Bolshevik land decree.,True,ruler_party,lenin,rev_bolshevik_center,0.95,agrarian_policy,state,1917,imp_zemstvo_liberal,0.0,imp_zemstvo_liberal
sov_1917_cheka_creation,1917-12-20,Создание ВЧК,security_reform,5,repression_control,Creation of political police.,True,government_party,lenin,rev_cheka_security,0.95,security,state,1917,imp_zemstvo_liberal,0.0,imp_zemstvo_liberal
sov_1918_constituent_assembly_dissolved,1918-01-19,Разгон Учредительного собрания,constitutional_break,5,one_party_power,Bolshevik consolidation.,True,party_government,lenin,rev_bolshevik_center,0.95,constitutional_security,state,1918,rev_old_bolsheviks,0.7044,"rev_old_bolsheviks, rev_bolshevik_center, rev_sovnarkom_government"
sov_1918_brest_litovsk,1918-03-03,Брест-Литовский мир,foreign_policy_decision,5,war_exit_concession,Elite decision under extreme pressure.,True,ruler_party,lenin,rev_bolshevik_center,0.9,foreign_policy,international,1918,rev_old_bolsheviks,0.7044,"rev_old_bolsheviks, rev_bolshevik_center, rev_sovnarkom_government"
sov_1918_red_army_creation,1918-01-28,Создание Рабоче-крестьянской Красной армии,military_reform,5,military_state_building,Soviet military institution-building.,True,government_party,trotsky,rev_trotsky_military,0.9,military,state,1918,rev_old_bolsheviks,0.7044,"rev_old_bolsheviks, rev_bolshevik_center, rev_sovnarkom_government"
sov_1918_war_communism_start,1918-06-01,Переход к военному коммунизму,economic_policy,5,state_control_mobilization,Approximate start; bundle of policies.,True,party_government,lenin,rev_bolshevik_center,0.8,economic_policy,state,1918,rev_old_bolsheviks,0.7044,"rev_old_bolsheviks, rev_bolshevik_center, rev_sovnarkom_government"
sov_1918_red_terror,1918-09-05,Постановление о Красном терроре,repression,5,repression_control,State terror policy.,True,party_government,lenin,rev_cheka_security,0.9,security,state,1918,rev_old_bolsheviks,0.7044,"rev_old_bolsheviks, rev_bolshevik_center, rev_sovnarkom_government"
sov_1921_nep,1921-03-21,Переход к НЭПу,economic_reform,5,market_liberalization_limited,Tax in kind / NEP transition.,True,party_government,lenin,rev_bolshevik_center,0.95,economic_policy,state,1921,rev_old_bolsheviks,0.7316,"rev_old_bolsheviks, rev_bolshevik_center, rev_sovnarkom_government"
sov_1921_ban_factions,1921-03-16,Запрет фракций в РКП(б),party_institutional_change,5,party_control,10th Party Congress decision.,True,party,lenin,rev_party_org_apparatus,0.95,party_governance,state,1921,rev_old_bolsheviks,0.7316,"rev_old_bolsheviks, rev_bolshevik_center, rev_sovnarkom_government"
sov_1922_ussr_creation,1922-12-30,Образование СССР,state_formation,5,state_building,Union treaty/state formation.,True,party_government,lenin,rev_bolshevik_center,0.95,constitutional,state,1922,rev_old_bolsheviks,0.7259,"rev_old_bolsheviks, rev_bolshevik_center, rev_sovnarkom_government"
sov_1922_general_secretary_stalin,1922-04-03,Сталин становится генеральным секретарём,elite_appointment,4,party_apparatus_growth,Institutional appointment with long-term elite implications.,True,party,stalin,rev_party_org_apparatus,0.95,elite_governance,state,1922,rev_old_bolsheviks,0.7259,"rev_old_bolsheviks, rev_bolshevik_center, rev_sovnarkom_government"
stalin_1928_first_five_year_plan,1928-10-01,Первый пятилетний план,economic_policy,5,forced_modernization,Approximate start of plan period.,True,ruler_party,stalin,stalin_economic_planners,0.95,economic_planning,state,1928,stalin_inner_circle,0.7369,"stalin_inner_circle, rev_old_bolsheviks, stalin_party_apparatus"
stalin_1929_great_break,1929-11-07,Великий перелом,political_economic_turn,5,forced_collectivization_industrialization,Stalin's major policy turn.,True,ruler_party,stalin,stalin_inner_circle,0.95,economic_policy,state,1929,stalin_inner_circle,0.7369,"stalin_inner_circle, rev_old_bolsheviks, stalin_party_apparatus"
stalin_1929_collectivization,1929-12-27,Курс на сплошную коллективизацию,agrarian_policy,5,forced_collectivization,Forced collectivization drive.,True,ruler_party,stalin,stalin_party_apparatus,0.95,agrarian_policy,state,1929,stalin_inner_circle,0.7369,"stalin_inner_circle, rev_old_bolsheviks, stalin_party_apparatus"
stalin_1930_dekulakization,1930-01-30,Постановление о ликвидации кулачества как класса,repression_social_policy,5,repression_collectivization,Mass repression linked to collectivization.,True,party_state,stalin,stalin_security_apparatus,0.95,security_agrarian,state,1930,stalin_inner_circle,0.7346,"stalin_inner_circle, stalin_party_apparatus, rev_old_bolsheviks"
stalin_1932_internal_passports,1932-12-27,Введение паспортной системы,security_administrative_policy,4,population_control,Population control and urban regulation.,True,party_state,stalin,stalin_security_apparatus,0.9,security_administration,state,1932,stalin_inner_circle,0.7132,"stalin_inner_circle, stalin_party_apparatus, stalin_industrial_modernizers"
stalin_1934_kirov_aftermath,1934-12-01,Кировское убийство и начало новой волны репрессий,repression_trigger_policy,5,repression_control,Assassination itself not elite-initiated; subsequent repression was.,True,ruler_party,stalin,stalin_security_apparatus,0.75,security,state,1934,stalin_inner_circle,0.7132,"stalin_inner_circle, stalin_party_apparatus, stalin_industrial_modernizers"
stalin_1936_constitution,1936-12-05,Конституция СССР 1936 года,constitutional_change,4,institutional_legitimation,Formal constitutional redesign.,True,party_state,stalin,stalin_party_apparatus,0.95,constitutional,state,1936,stalin_inner_circle,0.7352,"stalin_inner_circle, stalin_party_apparatus, stalin_industrial_modernizers"
stalin_1937_great_terror_order,1937-07-30,Приказ НКВД №00447 и Большой террор,repression,5,mass_repression,Core elite/state initiated mass repression.,True,ruler_security,stalin,stalin_security_apparatus,0.98,security,state,1937,stalin_inner_circle,0.727,"stalin_inner_circle, stalin_party_apparatus, rev_old_bolsheviks"
stalin_1939_nazi_soviet_pact,1939-08-23,Пакт Молотова — Риббентропа,foreign_policy_decision,5,strategic_partition,Strategic foreign policy decision.,True,ruler_foreign_policy,stalin,stalin_foreign_policy,0.95,foreign_policy,international,1939,stalin_inner_circle,0.7213,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
stalin_1939_poland_invasion,1939-09-17,Ввод советских войск в Восточную Польшу,military_intervention,5,territorial_expansion,Elite-initiated military action.,True,ruler_military,stalin,stalin_military_command,0.95,military_foreign_policy,international,1939,stalin_inner_circle,0.7213,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
stalin_1939_winter_war,1939-11-30,Советско-финляндская война,war,5,territorial_security_expansion,Soviet-initiated war.,True,ruler_military,stalin,stalin_military_command,0.95,military_foreign_policy,international,1939,stalin_inner_circle,0.7213,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
stalin_1940_baltic_annexation,1940-08-03,Включение прибалтийских республик в СССР,territorial_change,5,territorial_expansion,State-driven annexation process.,True,ruler_party,stalin,stalin_inner_circle,0.95,foreign_policy_security,international,1940,stalin_inner_circle,0.7213,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
stalin_1941_deportations,1941-06-14,Массовые депортации из присоединённых территорий,repression,5,population_control,Approximate representative date.,True,ruler_security,stalin,stalin_security_apparatus,0.9,security,imperial,1941,stalin_inner_circle,0.6562,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
stalin_1944_deportations_peoples,1944-02-23,Депортации народов СССР,repression,5,population_control_collective_punishment,Representative Chechen-Ingush deportation date; broader policy.,True,ruler_security,stalin,stalin_security_apparatus,0.95,security,state,1944,stalin_inner_circle,0.6562,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
stalin_1945_eastern_europe_control,1945-05-09,Установление советского контроля в Восточной Европе,foreign_policy_imperial_control,5,sphere_of_influence,Year-level bundle; exact country processes vary.,True,ruler_party,stalin,stalin_foreign_policy,0.85,foreign_policy_security,international,1945,stalin_inner_circle,0.6562,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
stalin_1946_fourth_five_year_plan,1946-03-18,Четвёртый пятилетний план восстановления,economic_policy,4,postwar_reconstruction,Postwar reconstruction planning.,True,party_state,stalin,stalin_economic_planners,0.9,economic_planning,state,1946,stalin_inner_circle,0.641,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
stalin_1947_monetary_reform,1947-12-14,Денежная реформа 1947 года,economic_reform,4,financial_stabilization_control,Currency reform and abolition of rationing.,True,party_state,stalin,stalin_economic_planners,0.85,finance,state,1947,stalin_inner_circle,0.641,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
stalin_1948_berlin_blockade,1948-06-24,Берлинская блокада,foreign_policy_crisis,5,geopolitical_pressure,Soviet-initiated blockade.,True,ruler_foreign_policy,stalin,stalin_foreign_policy,0.9,foreign_policy,international,1948,stalin_inner_circle,0.6571,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
stalin_1949_atomic_bomb,1949-08-29,Первое испытание советской атомной бомбы,military_technology,5,military_modernization,Strategic technology program.,True,ruler_state,stalin,stalin_military_command,0.95,military_technology,state,1949,stalin_inner_circle,0.6687,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
stalin_1952_party_renaming,1952-10-05,XIX съезд и переименование ВКП(б) в КПСС,party_institutional_change,3,party_reorganization,Late Stalin institutional reconfiguration.,True,party,stalin,stalin_party_apparatus,0.85,party_governance,state,1952,stalin_inner_circle,0.6251,"stalin_inner_circle, stalin_party_apparatus, stalin_security_apparatus"
post_1953_beria_arrest,1953-06-26,Арест Берии,elite_purge,5,elite_reconfiguration,Collective leadership/military-security action.,True,elite_coalition,khrushchev,poststalin_collective_leadership,0.9,elite_governance_security,state,1953,poststalin_collective_leadership,0.7077,"poststalin_collective_leadership, stalin_party_apparatus, stalin_inner_circle"
post_1954_crimea_transfer,1954-02-19,Передача Крымской области Украинской ССР,territorial_administrative_change,4,administrative_reallocation,Elite administrative decision.,True,party_state,khrushchev,poststalin_party_apparatus,0.85,administration,state,1954,poststalin_collective_leadership,0.3292,"poststalin_collective_leadership, khrushchev_group"
post_1954_virgin_lands,1954-03-02,Начало освоения целины,economic_social_policy,4,agricultural_expansion,Khrushchev initiative.,True,ruler_party,khrushchev,khrushchev_group,0.95,agrarian_policy,state,1954,poststalin_collective_leadership,0.3292,"poststalin_collective_leadership, khrushchev_group"
post_1955_warsaw_pact,1955-05-14,Создание Организации Варшавского договора,foreign_policy_military,5,bloc_consolidation,Soviet bloc military alliance.,True,party_state,khrushchev,poststalin_military_command,0.9,foreign_policy_military,international,1955,poststalin_collective_leadership,0.6094,"poststalin_collective_leadership, khrushchev_group, poststalin_ideological_apparatus"
post_1956_secret_speech,1956-02-25,Секретный доклад Хрущёва,ideological_reform,5,de_stalinization,Elite-initiated de-Stalinization.,True,ruler_party,khrushchev,khrushchev_group,0.95,ideology_party,state,1956,poststalin_collective_leadership,0.6094,"poststalin_collective_leadership, khrushchev_group, poststalin_ideological_apparatus"
post_1956_hungary_intervention,1956-11-04,Ввод советских войск в Венгрию,military_intervention,5,bloc_control,Soviet decision to intervene.,True,party_state,khrushchev,poststalin_military_command,0.95,foreign_policy_military,international,1956,poststalin_collective_leadership,0.6094,"poststalin_collective_leadership, khrushchev_group, poststalin_ideological_apparatus"
post_1957_anti_party_group_defeat,1957-06-29,Разгром «антипартийной группы»,elite_purge,5,elite_reconfiguration,Khrushchev consolidates power.,True,ruler_party,khrushchev,khrushchev_group,0.9,elite_governance,state,1957,poststalin_collective_leadership,0.6837,"poststalin_collective_leadership, khrushchev_group, poststalin_ideological_apparatus"
post_1957_sovnarkhoz_reform,1957-05-10,Совнархозная реформа,economic_administrative_reform,4,decentralization,Regional economic councils.,True,ruler_party,khrushchev,poststalin_economic_admins,0.9,economic_administration,state,1957,poststalin_collective_leadership,0.6837,"poststalin_collective_leadership, khrushchev_group, poststalin_ideological_apparatus"
post_1961_party_program,1961-10-31,XXII съезд КПСС и новая программа партии,ideological_reform,4,communist_project,Party program and renewed de-Stalinization.,True,ruler_party,khrushchev,khrushchev_group,0.85,ideology_party,state,1961,poststalin_collective_leadership,0.7813,"poststalin_collective_leadership, poststalin_party_apparatus, khrushchev_group"
post_1962_cuban_missile_crisis,1962-10-14,Карибский кризис,foreign_policy_military_crisis,5,strategic_risk,Soviet missile deployment decision; crisis date by discovery.,True,ruler_military,khrushchev,poststalin_military_command,0.85,foreign_policy_military,international,1962,poststalin_collective_leadership,0.779,"poststalin_collective_leadership, poststalin_party_apparatus, khrushchev_group"
post_1962_novocherkassk,1962-06-02,Расстрел в Новочеркасске,repression,5,domestic_control,Suppression of worker protest.,True,party_state,khrushchev,poststalin_security_apparatus,0.8,security,state,1962,poststalin_collective_leadership,0.779,"poststalin_collective_leadership, poststalin_party_apparatus, khrushchev_group"
post_1964_khrushchev_removal,1964-10-14,Смещение Хрущёва,elite_coup,5,elite_reconfiguration,Elite-initiated leadership removal.,True,elite_coalition,brezhnev,poststalin_collective_leadership,0.9,elite_governance,state,1964,lateussr_party_apparatus,0.8586,"lateussr_party_apparatus, poststalin_collective_leadership, poststalin_party_apparatus"
late_1965_kosygin_reform,1965-09-27,Косыгинская экономическая реформа,economic_reform,4,economic_efficiency,Reform of enterprise incentives.,True,government_party,kosygin,lateussr_economic_admins,0.9,economic_policy,state,1965,lateussr_party_apparatus,0.7245,"lateussr_party_apparatus, brezhnev_inner_circle, dnipropetrovsk_network"
late_1968_prague_spring_intervention,1968-08-21,Ввод войск в Чехословакию,military_intervention,5,bloc_control,Warsaw Pact intervention led by Soviet decision.,True,party_military,brezhnev,lateussr_military_industrial,0.95,foreign_policy_military,international,1968,lateussr_party_apparatus,0.7388,"lateussr_party_apparatus, brezhnev_inner_circle, dnipropetrovsk_network"
late_1970_brezhnev_doctrine,1968-11-13,Доктрина Брежнева,foreign_policy_doctrine,4,bloc_control,Representative date for public articulation.,True,party,brezhnev,lateussr_party_apparatus,0.85,foreign_policy_ideology,international,1968,lateussr_party_apparatus,0.7388,"lateussr_party_apparatus, brezhnev_inner_circle, dnipropetrovsk_network"
late_1972_salt_i,1972-05-26,Подписание ОСВ-1,foreign_policy_agreement,4,detente_arms_control,Elite-led détente agreement.,True,party_foreign_policy,brezhnev,lateussr_foreign_policy,0.9,foreign_policy,international,1972,lateussr_party_apparatus,0.7013,"lateussr_party_apparatus, brezhnev_inner_circle, dnipropetrovsk_network"
